year,quantum mechanics,theory of relativity,general relativity,special relativity
1997,1.8554874155236284e-06,4.812809174367263e-07,5.583241549406941e-07,2.0795747573172055e-07
1998,1.88102632898384e-06,5.060344302952403e-07,5.585892713139934e-07,2.1856548185602722e-07
1999,1.8535277835748535e-06,5.165638584182984e-07,5.512406946461823e-07,2.1532251386664164e-07
2000,1.8308370781332835e-06,5.278460793218491e-07,5.604326792799493e-07,2.2224212808159243e-07
2001,1.813620007062866e-06,5.345522395204328e-07,5.602797677869578e-07,2.271451815686173e-07
2002,1.8530232642279186e-06,5.58490599481384e-07,5.983058251692239e-07,2.490484061360273e-07
2003,1.9384674752994812e-06,5.759482396085401e-07,6.364104100534515e-07,2.7558363578452016e-07
2004,1.9233112609841537e-06,6.017844952513737e-07,6.696293670354386e-07,2.928847058531708e-07
2005,1.9077254431414706e-06,5.969193904244362e-07,6.647995175626926e-07,2.8766520681384425e-07
2006,1.8872905192931659e-06,6.118373132262583e-07,6.650488617904975e-07,2.9731344987547554e-07
2007,1.896947691624819e-06,6.163740546215126e-07,6.709661580307978e-07,3.083077024948874e-07
2008,1.9354479215495857e-06,6.29038338972876e-07,6.926359737821234e-07,3.1651693226703817e-07
2009,2.0640744032058526e-06,6.326252039683717e-07,7.088345769393608e-07,3.265497103039599e-07
2010,2.111877374691825e-06,6.510053993658005e-07,7.01047871753957e-07,3.2460246246479585e-07
2011,2.078115991542364e-06,6.375631661345186e-07,6.705884341944619e-07,3.111922946156095e-07
2012,2.032089767377089e-06,6.322200273459596e-07,6.64481960899188e-07,3.1041489575603774e-07
2013,2.0327841570022542e-06,6.148167629925284e-07,6.654568653420766e-07,3.118730768874351e-07
2014,2.0235389311475316e-06,6.0499796823115e-07,6.68585420820251e-07,3.0730203937068273e-07
2015,2.030242017995018e-06,5.908855086175382e-07,6.573269501248496e-07,3.085300265429477e-07
2016,1.8980238877728898e-06,5.639850424137599e-07,6.221208357201239e-07,2.9178448314657957e-07
2017,1.7930444179784881e-06,5.366189905024281e-07,6.020776320281307e-07,2.812398129751574e-07
2018,1.8167107509015066e-06,5.228857859584935e-07,6.039542225888538e-07,2.8219388612527043e-07
2019,1.886867151079663e-06,5.213416314764352e-07,6.085423837620674e-07,2.9186949196402523e-07
