year,nuclear energy,nuclear reactor,nuclear physics,nuclear bomb,quantum mechanics,theory of relativity
1982,5.245597802984646e-06,3.064018975302523e-06,2.6386245082221645e-06,2.0577134290140314e-07,1.543121015856741e-06,4.7177113474524847e-07
1983,4.957719600692404e-06,2.9308993916288273e-06,2.8829288112319773e-06,2.0925494497487612e-07,1.5791265965958703e-06,4.5537220243791717e-07
1984,4.618472157095052e-06,2.821988830297479e-06,2.9135689903877652e-06,2.1752785035149863e-07,1.6610990241718225e-06,4.61044646159005e-07
1985,4.384690788989637e-06,2.694305847634431e-06,2.896757192973252e-06,2.1801696251496795e-07,1.7032129337378268e-06,4.544976525450955e-07
1986,4.25212166987876e-06,2.5051694620970007e-06,2.779972948222361e-06,2.1312055931144158e-07,1.7195819219344749e-06,4.519976566839747e-07
1987,4.033463964349591e-06,2.26454656626629e-06,2.720940623289282e-06,2.1009300177343704e-07,1.742140043908031e-06,4.4839903677397685e-07
1988,3.923644760967753e-06,2.113944020720737e-06,2.511731552650482e-06,2.0564299721811554e-07,1.7726270102562985e-06,4.420990472121998e-07
1989,3.772148171979747e-06,1.9595976792987e-06,2.4110997784987376e-06,2.0196614430074383e-07,1.8103606481848343e-06,4.5121880682635105e-07
1990,3.5728873066480963e-06,1.6923444268814236e-06,2.1632956769427177e-06,1.9759388025786254e-07,1.8039916618306506e-06,4.465512310401566e-07
1991,3.5100349882506114e-06,1.5437353688696476e-06,2.036620460086981e-06,1.9396923573682707e-07,1.7739856649054024e-06,4.281190413291114e-07
1992,3.374527478529542e-06,1.4620037670657178e-06,1.976588796383437e-06,1.933011902924672e-07,1.8363788701744203e-06,4.3482051108918137e-07
1993,3.0861750630606366e-06,1.3807934858992406e-06,1.8543026187549977e-06,1.9288520227066031e-07,1.8610036386844188e-06,4.3526672450460477e-07
1994,2.9010522959132298e-06,1.2740704303634437e-06,1.670147119016617e-06,1.8995486916750792e-07,1.879215461083764e-06,4.463788174646766e-07
1995,2.7294616131712246e-06,1.165262229818609e-06,1.5673767137514005e-06,1.9093819511198766e-07,1.8734861655695615e-06,4.612957534685539e-07
1996,2.586487544777226e-06,1.0453656469979118e-06,1.4143708051100082e-06,1.876862720795458e-07,1.8178174368951465e-06,4.6518548594117905e-07
1997,2.5015376716096076e-06,9.59480746536607e-07,1.3125096633664107e-06,1.8800039973993726e-07,1.8554874155236284e-06,4.812809174367263e-07
1998,2.3506102902867302e-06,8.432739695101482e-07,1.2114222232335285e-06,1.8471905330727116e-07,1.88102632898384e-06,5.060344302952403e-07
1999,2.3358262072495757e-06,7.262239860900925e-07,1.0626273452274406e-06,1.86530756586732e-07,1.8535277835748535e-06,5.165638584182984e-07
2000,2.2317117038182588e-06,6.455989935031223e-07,9.753866251825473e-07,1.9549066210267085e-07,1.8308370781332835e-06,5.278460793218491e-07
2001,2.1446160712709376e-06,6.14657671617534e-07,9.290862640501781e-07,2.1015327506772916e-07,1.813620007062866e-06,5.345522395204328e-07
2002,2.07700049971647e-06,5.901551499551009e-07,8.627471794753205e-07,2.1850921583244087e-07,1.8530232642279186e-06,5.58490599481384e-07
2003,2.0303487972788455e-06,5.737998956613564e-07,8.034094765336469e-07,2.3233807808617106e-07,1.9384674752994812e-06,5.759482396085401e-07
2004,1.9855568617848415e-06,5.625505930925304e-07,7.604644160100602e-07,2.489427657189783e-07,1.9233112609841537e-06,6.017844952513737e-07
2005,1.8972664389390762e-06,5.564995337563922e-07,6.859975614860657e-07,2.6303289300612575e-07,1.9077254431414706e-06,5.969193904244362e-07
2006,1.7351348568744081e-06,5.425805363097018e-07,6.293044651733177e-07,2.7692790034926163e-07,1.8872905192931659e-06,6.118373132262583e-07
2007,1.7241263540666651e-06,5.326396254850302e-07,5.711328556122299e-07,2.8029389664047907e-07,1.896947691624819e-06,6.163740546215126e-07
2008,1.670759456372041e-06,5.204760526376718e-07,5.244888157435972e-07,2.7955105797688215e-07,1.9354479215495857e-06,6.29038338972876e-07
2009,1.5988447345754205e-06,5.147863157021045e-07,5.230023585005888e-07,2.7988310201200655e-07,2.0640744032058526e-06,6.326252039683717e-07
2010,1.5263823784599545e-06,5.023580470656494e-07,5.109172537741204e-07,2.747026898334123e-07,2.111877374691825e-06,6.510053993658005e-07
2011,1.399892788356283e-06,4.796999334580728e-07,4.6225988919219265e-07,2.685978409768173e-07,2.078115991542364e-06,6.375631661345186e-07
2012,1.3122581621973138e-06,4.631896030219248e-07,4.31762291855772e-07,2.653305527590609e-07,2.032089767377089e-06,6.322200273459596e-07
2013,1.247977882050983e-06,4.522856172124128e-07,4.100133383604693e-07,2.569226113524614e-07,2.0327841570022542e-06,6.148167629925284e-07
2014,1.1849174664949454e-06,4.419050336133625e-07,3.819322523960064e-07,2.521811889866221e-07,2.0235389311475316e-06,6.0499796823115e-07
2015,1.1476554972387831e-06,4.2992898682417795e-07,3.593050268424492e-07,2.453494677026999e-07,2.030242017995018e-06,5.908855086175382e-07
2016,1.1041056164578272e-06,4.1816867099190145e-07,3.041369297042605e-07,2.424914938054761e-07,1.8980238877728898e-06,5.639850424137599e-07
2017,1.0734429574850897e-06,4.070212976288919e-07,2.6247111643377486e-07,2.4159217011191875e-07,1.7930444179784881e-06,5.366189905024281e-07
2018,1.0798581071114198e-06,4.050495074459093e-07,2.6201728866581673e-07,2.376169221940394e-07,1.8167107509015066e-06,5.228857859584935e-07
2019,1.0544373723053724e-06,4.10721766819222e-07,2.6490799565070944e-07,2.3061519434375288e-07,1.886867151079663e-06,5.213416314764352e-07
